product_id,product_name,category,subcategory,importance_level,category_tags,category_count,product_family
20155,الصافي حليب كامل الدسم,dairy,dairy_products,critical,baking|cereals|chocolate_dessert|cooking|dairy|dairy_products|desserts|drinks|ingredient|milkshakes|ramadan|saleeg|saudi_staples,13,milk_dairy
20307,Al-Arabi Pure Vegetable Oil,oils,cooking_oils,critical,baking|cooking|cooking_oils|dish|dressings|frequent_purchase|frying|ingredient|oils|qeu_category|ramadan|samboosa|sauces|saudi|saudi_specialties|saudi_staples|top_seller|vegetable_oil,18,
20527,بريزيدن لبنة تركية 180 جم,saudi_specialties,laban,critical,appetizers|breakfast|dairy|dairy_products|desserts|dips|dish|frequent_purchase|ingredient|laban|ramadan|sandwiches|saudi|saudi_specialties|saudi_staples,15,milk_dairy
20618,هاينز مايونيز بالثوم 225 مل,vegetables,allium,critical,allium|dips|ingredient|jareesh|kabsa|marinades|meat_dishes|ramadan|rice_dishes|sauces|saudi_staples|soups|stews|vegetables,14,
20812,Almarai Mozzarella Cheese,baking,sweeteners,critical,appetizers|baking|cheese|dairy|desserts|dish|drinks|frequent_purchase|ingredient|pasta|pizza|preserves|qamar_al_din|qeu_category|ramadan|salads|samboosa|samboosa_cheese|sandwiches|saudi|saudi_coffee|saudi_specialties|saudi_staples|sweeteners|syrups|vimto,26,cheese
21135,White Paper Cups 50 Pack,other,,low,frequent_purchase|other,2,
21347,بوك قشطة قيمر4×125جم (نسخة),other,,low,frequent_purchase|other,2,
21397,المراعي قشطة  170 جرام * 6,other,,low,frequent_purchase|other,2,
21681,Luna Full Cream Evaporated Milk - Small Portions 15g,dairy,dairy_products,critical,baking|cereals|chocolate_biscuit_dessert|chocolate_dessert|coffee|cooking|cream|dairy|dairy_products|desserts|dish|drinks|ice_cream|ingredient|milk|milkshakes|qeu_category|ramadan|saleeg|sauces|saudi|saudi_specialties|saudi_staples|soups,24,milk_dairy
22835,شاينكس كلور منظف 3.78 لتر,beverages,tea,critical,beverages|herbal_tea|hot_tea|iced_tea|ingredient|milk_tea|mint_tea|ramadan|saudi_staples|saudi_tea|tea,11,
22937,Nadec Plain Greek Yogurt,dairy,dairy_products,critical,dairy|dairy_products|desserts|dips|dish|drinks|ingredient|laban|labneh|marinades|qeu_category|ramadan|salads|sauces|saudi|saudi_specialties|saudi_staples|smoothies|soups|yogurt,20,
23065,داك منظف ارضيات منوع 3لتر +3لتر,other,,low,other,1,
23181,ساديا صدور دجاج مكعبات 750جم,protein,poultry,very_high,biryani|chicken_soup|grilled_chicken|ingredient|kabsa|machboos|poultry|protein|quaker_soup|ramadan|roasted_chicken|samboosa|saudi_staples|shawarma|shish_tawook,15,
23226,فرشلي ذرة حب 340جم,vegetables,grains_vegetables,low,corn_dishes|corn_salad|corn_soup|grains_vegetables|ingredient|sweet_corn|vegetables,7,
23292,Sadia chicken fillet classic,protein,poultry,critical,biryani|chicken|chicken_soup|dish|grilled_chicken|ingredient|kabsa|machboos|poultry|protein|qeu_category|quaker_soup|ramadan|roasted_chicken|samboosa|saudi|saudi_specialties|saudi_staples|shawarma|shish_tawook,20,
24687,Saudi Milk 24x125ml,dairy,dairy_products,critical,baking|cereals|chocolate_biscuit_dessert|chocolate_dessert|cooking|dairy|dairy_products|desserts|dish|drinks|ingredient|milk|milkshakes|qeu_category|ramadan|saleeg|saudi|saudi_specialties|saudi_staples,19,milk_dairy
1900,"Goody Spaghetti Pasta – 450g, No. 20",grains,pasta,critical,frequent_purchase|grains|ingredient|lasagna|macaroni|pasta|pasta_salad|pasta_sauce|penne|qeu_category|ramadan|spaghetti,12,
2699,شمس زيت دوار الشمس 1.5 لتر,other,,low,frequent_purchase|other,2,
3642,Diet Pepsi 990ml,other,,low,other,1,
5756,الخضار فلفل رومي,vegetables,nightshades,medium,fajitas|frequent_purchase|grilled_peppers|ingredient|nightshades|rice_dishes|salads|stuffed_peppers|top_seller|vegetables,10,
5786,يوسف افندي,other,,low,frequent_purchase|other|top_seller,3,
5790,الخضار موز,fruits,tropical_fruits,high,breakfast|cakes|frequent_purchase|fruit_salads|fruits|ingredient|smoothies|snacks|top_seller|tropical_fruits,10,
9070,سفن اب دايت مشروب غازي 990 مل,other,,low,frequent_purchase|other,2,
17278,داري صدور دجاج طرية 2 كجم,protein,poultry,very_high,biryani|chicken_soup|frequent_purchase|grilled_chicken|ingredient|kabsa|machboos|poultry|protein|quaker_soup|ramadan|roasted_chicken|samboosa|saudi_staples|shawarma|shish_tawook,16,
3,Barakat Al-Sanabel Striped Ring Pasta 450g,grains,pasta,critical,frequent_purchase|grains|ingredient|lasagna|macaroni|pasta|pasta_salad|pasta_sauce|penne|qeu_category|ramadan|spaghetti,12,
66,Barakat Al Sanabel Twisted Pasta,grains,pasta,critical,frequent_purchase|grains|ingredient|lasagna|macaroni|pasta|pasta_salad|pasta_sauce|penne|qeu_category|ramadan|spaghetti,12,
275,برايد جبنة شرايح ساندويتش170جم*10,dairy,cheese,very_high,appetizers|baking|cheese|dairy|desserts|frequent_purchase|ingredient|pasta|pizza|ramadan|salads|samboosa_cheese|sandwiches|saudi_staples,14,cheese
684,Bonta Sweetened Condensed Milk,dairy,dairy_products,critical,baking|cereals|chocolate_biscuit_dessert|chocolate_dessert|cooking|dairy|dairy_products|desserts|dish|drinks|frequent_purchase|ingredient|milk|milkshakes|qeu_category|ramadan|saleeg|saudi|saudi_specialties|saudi_staples,20,milk_dairy
1378,تونة الشاهين 90جم,other,,low,frequent_purchase|other|top_seller,3,
2169,Indofood Sweet Soy Sauce (Kecap Manis) - 340ml,other,,low,frequent_purchase|other,2,
2290,Barakat Al-Sanabel Bell Pasta,grains,pasta,critical,frequent_purchase|grains|ingredient|lasagna|macaroni|pasta|pasta_salad|pasta_sauce|penne|qeu_category|ramadan|spaghetti,12,
2293,Barakat Al Sanabel Penne Pasta,grains,pasta,critical,frequent_purchase|grains|ingredient|lasagna|macaroni|pasta|pasta_salad|pasta_sauce|penne|qeu_category|ramadan|spaghetti,12,
2591,Rana Ketchup – 340g,other,,low,frequent_purchase|other,2,
2865,Foster Clark's Milk Chocolate Cake Mix,dairy,dairy_products,critical,baking|cereals|chocolate|chocolate_bars|chocolate_biscuit_dessert|chocolate_dessert|confectionery|cooking|dairy|dairy_products|desserts|dish|drinks|frequent_purchase|ingredient|milk|milkshakes|qeu_category|ramadan|saleeg|saudi|saudi_specialties|saudi_staples|snacks,24,milk_dairy
4138,فرجينتو فاصوليا بيضاء 400 جم,protein,eggs,critical,baking|bean_salads|beans|breakfast|cooking|custards|desserts|eggs|fasolia|frequent_purchase|ingredient|kidney_beans|legumes|lobiya|omelets|protein|ramadan|sauces|saudi_staples|soups|stews,21,
4549,الخضار خيار,vegetables,cucumbers,high,cucumbers|fattoush|frequent_purchase|ingredient|jajik|pickles|salads|snacks|top_seller|vegetables|yogurt_dips,11,
4622,يومي خبز توست  ابيض  فاخر,protein,eggs,critical,appetizers|baking|bread|breakfast|cooking|custards|desserts|eggs|fatayer|fattoush|frequent_purchase|grains|ingredient|manakish|omelets|pita|protein|ramadan|sambousek|sandwiches|sauces|saudi_bread|saudi_staples|soups|top_seller,25,
5670,الخضار بصل كيس وسط,vegetables,allium,critical,allium|frequent_purchase|fried_onions|ingredient|jareesh|kabsa|matazeez|meat_dishes|ramadan|rice_dishes|salads|sauces|saudi_staples|soups|stews|top_seller|vegetables,17,
5702,الخضار جزر الشربتلي (نسخة),vegetables,root_vegetables,high,cakes|desserts|frequent_purchase|ingredient|juices|quaker_soup|ramadan|rice_dishes|root_vegetables|salads|soups|stews|vegetables,13,
5826,Alkhair Drip Coffee with Forte 3×10g,beverages,coffee,critical,beverages|coffee|qeu_category,3,
9556,Suhoolat Crispy Fried Onions - 400g,vegetables,allium,critical,allium|dish|fried_onions|ingredient|jareesh|kabsa|matazeez|meat_dishes|onions|qeu_category|quaker_soup|ramadan|rice_dishes|salads|samboosa|sauces|saudi|saudi_specialties|saudi_staples|soups|stews|vegetables,22,
10463,طربزون خبز تورتيلا 360 جرام,grains,bread,critical,appetizers|bread|fatayer|fattoush|grains|ingredient|manakish|pita|ramadan|sambousek|sandwiches|saudi_bread|saudi_staples,13,
11467,فونتي تورتيلا ابيض 165جم,protein,eggs,critical,baking|breakfast|cooking|custards|desserts|eggs|ingredient|omelets|protein|ramadan|sauces|saudi_staples|soups,13,
18612,المراعي حليب دبل شوكولاتة,dairy,dairy_products,critical,baking|cereals|chocolate_bars|chocolate_biscuit_dessert|chocolate_dessert|confectionery|cooking|dairy|dairy_products|desserts|drinks|ingredient|milkshakes|ramadan|saleeg|saudi_staples|snacks,17,milk_dairy
21113,Baraka Al Sanabel Pasta Shells 450g,grains,pasta,critical,frequent_purchase|grains|ingredient|lasagna|macaroni|pasta|pasta_salad|pasta_sauce|penne|qeu_category|ramadan|spaghetti,12,
21114,Large Elbow Pasta 450g,grains,pasta,critical,frequent_purchase|grains|ingredient|lasagna|macaroni|pasta|pasta_salad|pasta_sauce|penne|qeu_category|ramadan|spaghetti,12,
21466,الصافي حليب طويل الأجل كامل الدسم 1 لتر,dairy,dairy_products,critical,baking|cereals|chocolate_dessert|cooking|dairy|dairy_products|desserts|drinks|frequent_purchase|ingredient|milkshakes|ramadan|saleeg|saudi_staples,14,milk_dairy
24677,اي دي فطيرة صغيرة بالقمح الكامل 400جم,other,,low,other,1,
24689,Torin Classic Red Chocolate 50g,snacks,confectionery,high,baking|chocolate|chocolate_bars|chocolate_biscuit_dessert|confectionery|desserts|drinks|ingredient|qeu_category|ramadan|snacks,11,
24703,Torin Mr. Bite Hazelnut Chocolate 38g,snacks,confectionery,high,baking|chocolate|chocolate_bars|chocolate_biscuit_dessert|confectionery|desserts|drinks|ingredient|qeu_category|ramadan|snacks,11,
24707,Torin Mr. Bite Pistachio Chocolate 38g,snacks,confectionery,high,baking|chocolate|chocolate_bars|chocolate_biscuit_dessert|confectionery|desserts|drinks|ingredient|qeu_category|ramadan|snacks,11,
24916,Listello Brown Rice Cakes 130g,grains,rice,critical,biryani|dish|fried_rice|grains|ingredient|jareesh|kabsa|machboos|mandi|maqluba|qeu_category|quzi|ramadan|rice|rice_salad|saleeg|saudi|saudi_specialties|saudi_staples|stuffed_peppers,20,rice_centric
1860,حدائق كاليفورنيا  ذرة حلوة حبوب كاملة 400 جرام,vegetables,grains_vegetables,low,corn_dishes|corn_salad|corn_soup|frequent_purchase|grains_vegetables|ingredient|sweet_corn|top_seller|vegetables,9,
1868,Rana Large Hot Sauce,other,,low,frequent_purchase|other|top_seller,3,
4564,الخضار طماطم,vegetables,tomatoes,critical,dolma|frequent_purchase|ingredient|kabsa|matazeez|ramadan|rice_dishes|salads|sambousek|sauces|saudi_staples|soups|stews|tomatoes|top_seller|vegetables,16,
5688,خضار ثوم 1 كيس,vegetables,allium,critical,allium|dips|frequent_purchase|ingredient|jareesh|kabsa|marinades|meat_dishes|ramadan|rice_dishes|sauces|saudi_staples|soups|stews|top_seller|vegetables,16,
24454,جود فود عسل سدر كشميري 1 كجم,baking,sweeteners,very_high,baking|desserts|drinks|ingredient|marinades|ramadan|saudi_staples|sweeteners|tea,9,
24503,يامور ذرة 340جم,vegetables,grains_vegetables,low,corn_dishes|corn_salad|corn_soup|grains_vegetables|ingredient|sweet_corn|vegetables,7,
1810,Al Waleema Rice,grains,rice,critical,biryani|dish|frequent_purchase|fried_rice|grains|ingredient|jareesh|kabsa|machboos|mandi|maqluba|qeu_category|quzi|ramadan|rice|rice_salad|saleeg|saudi|saudi_specialties|saudi_staples|stuffed_peppers,21,rice_centric
2429,La Roche-Posay Effaclar Foaming Gel Cleanser - 400ml,other,,low,other,1,
3131,Lipton Yellow Label Tea,beverages,tea,critical,beverages|frequent_purchase|herbal_tea|hot_tea|iced_tea|ingredient|milk_tea|mint_tea|qeu_category|ramadan|saudi_staples|saudi_tea|tea,13,
3355,Arqa Cream Substitute 155g,dairy,dairy_products,critical,baking|coffee|cream|dairy|dairy_products|desserts|frequent_purchase|ice_cream|ingredient|qeu_category|sauces|soups|top_seller,13,
4448,Millionaire Spicy Potato 14×12 grams (Bundle),other,,low,other,1,
5754,الخضار فلفل حار وطني,vegetables,nightshades,medium,fajitas|frequent_purchase|grilled_peppers|ingredient|nightshades|rice_dishes|salads|stuffed_peppers|vegetables,9,
7937,Barbican Iced Berry Malt Drink - 6x250ml,other,,low,other,1,
10193,Gillette Blue Plus Men's Razor Blades 10+4 Free,other,,low,other,1,
11428,فوستر كلاركس خليط كيك شوكلاتة داكنه 500جم,condiments,condiments,medium,condiments|dressings|frequent_purchase|ingredient|marinades|pickles|salad|sauces,8,
11745,فيفا فروتي,other,,low,other,1,
14033,ماجي شوربة كريمة الدجاج 71جم,protein,poultry,very_high,baking|biryani|chicken_soup|coffee|dairy|dairy_products|desserts|frequent_purchase|grilled_chicken|ice_cream|ingredient|kabsa|machboos|poultry|protein|quaker_soup|ramadan|roasted_chicken|samboosa|sauces|saudi_staples|shawarma|shish_tawook|soups,24,
16651,Yamour Strawberry Jam 400g,other,,low,other,1,
18402,ETI Wafer Up with Cocoa Cream - 39.5g,baking,baking_ingredients,critical,baking|baking_ingredients|cakes|chocolate_bars|chocolate_biscuit_dessert|chocolate_dishes|cocoa|coffee|confectionery|cream|dairy|dairy_products|desserts|dish|drinks|ice_cream|ingredient|qeu_category|ramadan|sauces|saudi|saudi_specialties|snacks|soups,24,
20526,Zoro Potato Chips - Pack (9 × 20g),vegetables,tubers,very_high,chips|frequent_purchase|fried_potatoes|ingredient|kabsa|maqluba|moussaka|party_snacks|qeu_category|ramadan|roasted_vegetables|salads|saudi_staples|snacks|soups|tubers|vegetables,17,chips_snacks
22178,Fiery Spicy Crackers,other,,low,other,1,
23044,Aqua Life Bottled Drinking Water - Pack of 40 x 330ml,beverages,water,critical,beverages|dish|frequent_purchase|laban|qamar_al_din|qeu_category|ramadan|saudi|saudi_coffee|saudi_specialties|vimto|water,12,
23048,Sprite Citrus Mint Flavor,herbs,fresh_herbs,critical,desserts|dips|dish|drinks|fresh_herbs|herbs|ingredient|jallab|laban|mint|qeu_category|ramadan|salads|sauces|saudi|saudi_specialties|tea,17,
23580,سبرايت بنكهة الحمضيات والنعناع 12×185مل,herbs,fresh_herbs,high,desserts|dips|drinks|fresh_herbs|herbs|ingredient|jallab|laban|ramadan|salads|sauces|tea,12,
24501,برسيل جل لافندر 2.9+2.9 لتر,other,,low,other,1,
24650,اوكوكو ماكرون بسكويت محشو بنكهة الليمون 188 جم,snacks,cookies,high,chocolate_biscuit_dessert|citrus|cookies|desserts|drinks|fruits|ingredient|marinades|ramadan|rice_dishes|salad_dressings|sauces|snacks|soups|tea_biscuits,15,
25740,تايجر بلس بطاطس بالشطة 20×13جم,vegetables,tubers,very_high,fried_potatoes|ingredient|kabsa|maqluba|moussaka|ramadan|roasted_vegetables|salads|saudi_staples|soups|tubers|vegetables,12,chips_snacks
26593,قروفيا مسحوق غسيل ملابس 10كجم,other,,low,frequent_purchase|other|top_seller,3,
26594,قروفيا منعم ملابس 1لتر,other,,low,frequent_purchase|other|top_seller,3,
333,Wheat Spaghetti 450g,grains,pasta,high,frequent_purchase|grains|ingredient|lasagna|macaroni|pasta|pasta_salad|pasta_sauce|penne|ramadan|spaghetti|top_seller,12,
730,Pepsi Zero Sugar Soft Drink - 990ml,baking,sweeteners,critical,baking|chocolate_biscuit_dessert|desserts|dish|drinks|ingredient|preserves|qamar_al_din|qeu_category|ramadan|saudi|saudi_coffee|saudi_specialties|saudi_staples|sugar|sweeteners|syrups|vimto,18,
751,Dobby Chicken Stock,protein,poultry,critical,biryani|chicken|chicken_soup|dish|frequent_purchase|grilled_chicken|ingredient|kabsa|machboos|poultry|protein|qeu_category|quaker_soup|ramadan|roasted_chicken|samboosa|saudi|saudi_specialties|saudi_staples|shawarma|shish_tawook,21,
1490,3P Tablecloth Set 4+1 Roll Free,other,,low,frequent_purchase|other,2,
1825,Indomie Special Chicken Flavour Noodles,protein,poultry,critical,biryani|chicken|chicken_soup|dish|frequent_purchase|grilled_chicken|ingredient|kabsa|machboos|poultry|protein|qeu_category|quaker_soup|ramadan|roasted_chicken|samboosa|saudi|saudi_specialties|saudi_staples|shawarma|shish_tawook,21,
2529,Delicio Mayonnaise - 946g,other,,low,frequent_purchase|other,2,
2859,Foster Vanilla Sachet – 28g,flavorings,flavoring_extracts,high,baking|cakes|custards|desserts|drinks|flavoring_extracts|flavorings|frequent_purchase|ice_cream|ingredient|qeu_category|vanilla,12,
2867,Foster Clark's Custard,other,,low,frequent_purchase|other|top_seller,3,
3252,Nova Spicy Mint Chewing Gum,herbs,fresh_herbs,critical,desserts|dips|dish|drinks|fresh_herbs|herbs|ingredient|jallab|laban|mint|qeu_category|ramadan|salads|sauces|saudi|saudi_specialties|tea,17,
3946,ريفوني معجون طماطم 8×135جم,canned_goods,tomato_products,critical,canned_goods|dolma|frequent_purchase|ingredient|kabsa|matazeez|meat_dishes|ramadan|rice_dishes|salads|sambousek|sauces|saudi_staples|soups|stews|tomato_products|tomatoes|top_seller|vegetables,19,
4169,فوستر كلاركس كريم كراميل 71جم,other,,low,other,1,
4627,يونيفود شعيرية  الوطنية مقلية 150جم,grains,pasta,medium,desserts|grains|ingredient|pasta|ramadan|rice_dishes|soups|sweet_dishes|vermicelli_pudding,9,
5302,الاسرة  سكر ابيض ناعم قطم 5 Kilo,protein,eggs,critical,baking|breakfast|cooking|custards|desserts|eggs|frequent_purchase|ingredient|omelets|protein|ramadan|sauces|saudi_staples|soups|top_seller,15,
6554,الكرامة مربعات بف بيستري عادي 400جم,other,,low,frequent_purchase|other,2,
8148,ديمو فلاش 1.25 لتر,other,,low,frequent_purchase|other,2,
11464,حدائق سلمى خل ابيض  4 لتر,protein,eggs,critical,baking|breakfast|condiments|cooking|custards|desserts|dressings|eggs|frequent_purchase|ingredient|marinades|omelets|pickles|protein|ramadan|salad|sauces|saudi_staples|soups,19,
11474,فوستر كلاركس نكهه طعام موز 14مل,fruits,tropical_fruits,high,breakfast|cakes|frequent_purchase|fruit_salads|fruits|ingredient|smoothies|snacks|tropical_fruits,9,
12371,كاندي دريم خفق 80جم,other,,low,other,1,
13108,Quaker White Oats - 500g,grains,oats,critical,baking|dish|frequent_purchase|grains|ingredient|oat_bread|oatmeal|oats|qeu_category|quaker_soup|ramadan|saudi|saudi_specialties|saudi_staples|smoothies|top_seller,16,
13813,لوك مي شوكولاتة محشو بكريمة اللوتس 12×35 جرام,snacks,confectionery,high,baking|chocolate_bars|chocolate_biscuit_dessert|coffee|confectionery|dairy|dairy_products|desserts|drinks|ice_cream|ingredient|ramadan|sauces|snacks|soups,15,
16800,سفن دايز كيك بار شوكلاتة 12×25جم,other,,low,other,1,
17787,عافية ليمون اسود مجفف 200جم,fruits,citrus,high,citrus|desserts|drinks|fruits|ingredient|marinades|ramadan|rice_dishes|salad_dressings|sauces|soups,11,
