product_a,product_b,pair_count,score
1097,22099,101,6.34
19590,20812,101,6.34
5670,5688,101,6.34
3223,28139,100,6.28
2868,3770,99,6.21
1788,22295,99,6.21
22295,28275,99,6.21
17299,28275,99,6.21
4564,5701,98,6.15
1788,17299,98,6.15
4564,5756,97,6.09
24057,28138,97,6.09
4549,5701,97,6.09
20307,28275,95,5.96
5670,5782,94,5.9
5673,28138,94,5.9
24910,25560,93,5.84
17460,28275,93,5.84
2868,13108,93,5.84
13108,28139,93,5.84
24832,28518,93,5.84
3770,28139,93,5.84
3770,3936,92,5.78
4549,5756,91,5.71
51,29289,90,5.65
1946,19590,90,5.65
5670,5786,89,5.59
3936,13108,89,5.59
1788,10146,89,5.59
4455,20337,88,5.52
4852,22295,88,5.52
4564,22295,88,5.52
5673,5782,88,5.52
4852,17299,88,5.52
4564,17299,87,5.46
4852,27267,86,5.4
3355,17299,86,5.4
20307,20812,86,5.4
17299,19590,86,5.4
19590,22295,86,5.4
5746,5782,86,5.4
5790,28138,85,5.34
4564,5786,85,5.34
3223,29095,85,5.34
51,4564,84,5.27
5673,20764,84,5.27
5670,28518,84,5.27
5773,20764,84,5.27
4564,25560,84,5.27
4455,28138,83,5.21
4564,10146,82,5.15
20337,24057,82,5.15
19590,26593,82,5.15
19848,28275,81,5.08
24487,24489,81,5.08
3223,24057,81,5.08
51,26593,81,5.08
5782,6003,81,5.08
3936,28138,80,5.02
1097,10146,80,5.02
5670,28138,80,5.02
20337,28518,80,5.02
20882,27267,80,5.02
3223,24910,79,4.96
28138,28139,79,4.96
1946,20307,79,4.96
3355,22295,79,4.96
10146,17032,79,4.96
5673,5786,78,4.9
5673,5701,78,4.9
5782,5790,78,4.9
51,3936,77,4.83
22606,24487,76,4.77
1845,3127,76,4.77
4852,20337,76,4.77
22295,28139,76,4.77
5670,25560,75,4.71
4062,28138,75,4.71
24832,28275,75,4.71
1812,17945,75,4.71
1788,13108,74,4.65
1788,3770,74,4.65
22606,24489,74,4.65
19848,28138,74,4.65
2868,24910,74,4.65
3223,5670,74,4.65
19848,28518,74,4.65
19590,29581,73,4.58
3936,10146,73,4.58
5670,5701,72,4.52
19590,23291,72,4.52
3770,18565,72,4.52
19848,25560,72,4.52
5670,20764,71,4.46
20307,23291,71,4.46
5790,25560,71,4.46
51,10746,71,4.46
4455,17299,71,4.46
4455,22295,71,4.46
3223,5790,71,4.46
51,24057,71,4.46
3223,18565,71,4.46
5701,5790,70,4.39
5673,22295,70,4.39
5673,17299,70,4.39
4549,28138,70,4.39
3223,8852,70,4.39
3127,4455,69,4.33
17299,28139,69,4.33
5673,5773,69,4.33
1845,4455,69,4.33
1845,4139,68,4.27
20051,28518,68,4.27
26594,28138,68,4.27
19848,27267,67,4.21
3223,4062,67,4.21
5670,5773,67,4.21
51,29581,67,4.21
18565,20337,67,4.21
3936,28275,67,4.21
51,1846,67,4.21
24057,28275,67,4.21
28138,29289,67,4.21
78,1845,66,4.14
51,5670,66,4.14
27267,29289,66,4.14
4139,4455,66,4.14
78,3127,66,4.14
5746,26593,66,4.14
3127,4139,66,4.14
78,4139,66,4.14
78,4455,66,4.14
4549,25560,65,4.08
5670,20337,65,4.08
10146,22099,65,4.08
20307,27267,65,4.08
3770,4455,65,4.08
17299,18565,64,4.02
3936,4852,64,4.02
18565,22295,64,4.02
18565,25560,64,4.02
26593,29289,63,3.95
5670,22295,63,3.95
19590,24057,63,3.95
5746,22295,63,3.95
5670,17299,63,3.95
5746,17299,63,3.95
17945,26064,62,3.89
8852,17299,62,3.89
29289,29581,62,3.89
8852,28518,62,3.89
22693,28275,62,3.89
5688,17299,62,3.89
8852,22295,62,3.89
23056,23061,62,3.89
17299,24832,62,3.89
22295,24057,61,3.83
21451,28275,61,3.83
17299,24057,61,3.83
3223,5746,61,3.83
25560,28139,61,3.83
17460,21451,61,3.83
51,17299,61,3.83
5688,22295,61,3.83
5676,5772,61,3.83
3936,20337,60,3.77
51,22295,60,3.77
4564,20764,60,3.77
4564,4852,59,3.7
5782,28138,59,3.7
4564,29095,59,3.7
5746,28138,59,3.7
1788,4455,59,3.7
5790,28518,59,3.7
1788,2868,59,3.7
5673,5756,59,3.7
3936,25560,59,3.7
5746,28518,59,3.7
26593,28275,59,3.7
6003,22295,59,3.7
6003,17299,58,3.64
22295,24832,58,3.64
1788,4564,58,3.64
20051,28138,58,3.64
19590,20337,58,3.64
2551,22295,57,3.58
3223,6003,57,3.58
4549,5688,57,3.58
5701,20764,57,3.58
5756,5782,57,3.58
2551,17299,57,3.58
3127,5746,57,3.58
20307,25560,57,3.58
11440,13108,57,3.58
3770,11440,57,3.58
3770,24910,57,3.58
13108,18565,57,3.58
5746,26594,57,3.58
18565,24910,57,3.58
4564,5688,57,3.58
28139,28518,57,3.58
13108,24910,57,3.58
51,17460,56,3.52
4852,29095,56,3.52
2868,17299,56,3.52
5673,25560,56,3.52
3223,26593,56,3.52
5782,5786,56,3.52
5746,25560,56,3.52
5673,28518,56,3.52
51,20337,56,3.52
25560,29581,56,3.52
51,29095,56,3.52
19590,28497,56,3.52
20307,29289,56,3.52
3770,4852,56,3.52
5782,25560,56,3.52
2868,22295,56,3.52
3223,5302,55,3.45
1946,20882,55,3.45
28138,28497,55,3.45
5790,26593,55,3.45
2868,28518,55,3.45
2868,18565,55,3.45
6003,26593,54,3.39
22295,29581,54,3.39
2868,10146,54,3.39
5688,25560,54,3.39
17299,29581,54,3.39
5673,10146,54,3.39
22693,28518,54,3.39
6003,28138,54,3.39
3223,5786,54,3.39
4549,10746,54,3.39
4549,28518,54,3.39
5673,20337,54,3.39
3770,24057,54,3.39
51,5688,53,3.33
5756,5790,53,3.33
4564,28139,53,3.33
4564,20337,53,3.33
4455,18565,53,3.33
5670,26593,53,3.33
3223,20307,53,3.33
3127,5673,53,3.33
51,5673,53,3.33
28275,29581,53,3.33
4170,11431,53,3.33
3355,3946,53,3.33
4455,13108,53,3.33
20812,28275,53,3.33
4564,28275,53,3.33
3223,3936,53,3.33
1846,28518,52,3.26
1846,28275,52,3.26
3223,28497,52,3.26
3770,5790,52,3.26
2868,4062,52,3.26
5688,28138,52,3.26
20812,20882,52,3.26
24832,27267,52,3.26
51,3770,52,3.26
3770,4564,52,3.26
25560,28497,52,3.26
5670,10146,52,3.26
3127,26593,52,3.26
51,5790,52,3.26
3936,24832,52,3.26
3127,26594,52,3.26
1788,28139,52,3.26
10746,28518,51,3.2
1439,28518,51,3.2
6003,25560,51,3.2
24832,28138,51,3.2
10146,24057,51,3.2
1868,22295,51,3.2
25560,26594,51,3.2
22295,24910,51,3.2
3430,25560,51,3.2
17299,24910,51,3.2
5786,28518,51,3.2
3946,13108,51,3.2
13108,24057,51,3.2
3936,11440,50,3.14
1788,18565,50,3.14
4852,29289,50,3.14
5670,28275,50,3.14
4062,19590,50,3.14
17460,27267,50,3.14
4564,5773,50,3.14
5701,5773,50,3.14
5701,5746,50,3.14
20337,28139,50,3.14
4549,20764,50,3.14
1846,28138,50,3.14
2551,28518,50,3.14
5790,13108,50,3.14
3223,29289,49,3.08
24910,26594,49,3.08
1845,1860,49,3.08
24910,26593,49,3.08
1788,4062,49,3.08
6963,10146,49,3.08
1946,28275,49,3.08
1868,17299,49,3.08
1846,28497,49,3.08
3770,3946,49,3.08
4062,25560,49,3.08
4455,25560,49,3.08
3946,5302,49,3.08
4852,26593,49,3.08
3451,28275,49,3.08
17032,28518,48,3.01
2371,20109,48,3.01
24832,25560,48,3.01
3936,22295,48,3.01
3223,5673,48,3.01
20812,23291,48,3.01
1788,25560,48,3.01
20882,23291,48,3.01
3936,24057,48,3.01
21451,27267,48,3.01
4852,13108,48,3.01
51,22693,48,3.01
6003,26594,48,3.01
28139,29095,48,3.01
24057,25560,48,3.01
3223,4455,47,2.95
5746,5773,47,2.95
5673,10746,47,2.95
1788,4549,47,2.95
3127,5670,47,2.95
3127,5790,47,2.95
3223,5782,47,2.95
5670,19590,47,2.95
17299,29289,47,2.95
22295,29289,47,2.95
3936,17299,47,2.95
3770,5670,47,2.95
28518,29289,47,2.95
3770,19590,46,2.89
4062,26593,46,2.89
3451,19590,46,2.89
1860,28518,46,2.89
20882,29289,46,2.89
5670,13108,46,2.89
22295,26594,46,2.89
4549,22295,46,2.89
3355,8852,46,2.89
10146,28139,46,2.89
17299,26594,46,2.89
3770,5746,46,2.89
3127,6003,46,2.89
4549,17299,46,2.89
4549,5773,45,2.82
51,20051,45,2.82
28138,29095,45,2.82
1860,3127,45,2.82
1846,27267,45,2.82
3223,22693,45,2.82
4852,24057,45,2.82
51,13108,45,2.82
24487,24488,45,2.82
24487,28932,45,2.82
5688,5782,45,2.82
1788,26593,45,2.82
51,1860,45,2.82
5790,26594,45,2.82
3223,3946,45,2.82
5673,26593,45,2.82
5701,6003,44,2.76
22606,28932,44,2.76
5670,24057,44,2.76
6003,28518,44,2.76
20307,22295,44,2.76
4852,28497,44,2.76
51,1788,44,2.76
1852,21991,44,2.76
17299,20307,44,2.76
5746,10146,44,2.76
3223,19848,44,2.76
5773,6003,44,2.76
19590,28576,44,2.76
4564,13108,44,2.76
24057,28139,43,2.7
4062,20337,43,2.7
4564,27267,43,2.7
1946,20812,43,2.7
4564,26593,43,2.7
51,2868,43,2.7
22693,28139,43,2.7
5746,13108,43,2.7
5302,26593,43,2.7
5790,10746,43,2.7
26593,28576,43,2.7
28275,29095,43,2.7
3770,11474,43,2.7
22606,28933,42,2.64
1765,28275,42,2.64
5790,20337,42,2.64
17299,21451,42,2.64
21451,22295,42,2.64
3223,26404,42,2.64
3223,3355,42,2.64
51,5782,42,2.64
11474,13108,42,2.64
28138,29581,42,2.64
5782,27267,41,2.57
20337,28275,41,2.57
4852,19590,41,2.57
4852,17032,41,2.57
5773,5782,41,2.57
5302,10146,41,2.57
1788,4852,41,2.57
24489,28932,41,2.57
3223,4549,41,2.57
21269,21960,41,2.57
4564,8852,41,2.57
2693,28138,41,2.57
17460,25560,41,2.57
3389,25560,41,2.57
21451,25560,41,2.57
4455,10146,41,2.57
5673,26594,41,2.57
5790,28275,40,2.51
5670,26594,40,2.51
1788,28518,40,2.51
51,10502,40,2.51
3223,20570,40,2.51
27934,28518,40,2.51
17460,28518,40,2.51
44,5673,40,2.51
4564,5302,40,2.51
4455,24057,40,2.51
10746,19590,40,2.51
1946,25560,40,2.51
3770,11428,40,2.51
1439,28138,40,2.51
3770,5673,40,2.51
5688,10146,40,2.51
2551,13108,39,2.45
333,2291,39,2.45
721,14115,39,2.45
721,21960,39,2.45
721,20526,39,2.45
721,21269,39,2.45
612,20526,39,2.45
12639,14115,39,2.45
612,21269,39,2.45
14115,21960,39,2.45
11428,13108,39,2.45
1788,24910,39,2.45
1845,28518,39,2.45
22606,24488,39,2.45
612,12639,39,2.45
612,14115,39,2.45
5673,13108,39,2.45
612,721,39,2.45
20307,28138,39,2.45
14115,21269,39,2.45
26593,27267,39,2.45
10746,28275,39,2.45
612,21960,39,2.45
721,12639,39,2.45
5746,24057,39,2.45
3770,28275,39,2.45
3389,13108,39,2.45
51,5746,39,2.45
12639,20526,39,2.45
12639,21269,39,2.45
5673,20307,39,2.45
12639,21960,39,2.45
20526,21960,39,2.45
20526,21269,39,2.45
14115,20526,39,2.45
2551,3770,39,2.45
24488,24489,38,2.39
5782,19590,38,2.39
5670,5756,38,2.39
1812,26064,38,2.39
20307,29581,38,2.39
20307,26593,38,2.39
10146,26593,38,2.39
1439,28139,38,2.39
4852,19848,38,2.39
6846,28921,38,2.39
4564,19590,38,2.39
5786,17299,38,2.39
5786,25560,38,2.39
24832,28497,38,2.39
4062,24910,38,2.39
5746,5756,38,2.39
5790,20764,38,2.39
2868,4852,38,2.39
5786,22295,38,2.39
5302,28138,38,2.39
51,4549,38,2.39
3430,20307,38,2.39
3355,5302,38,2.39
1946,27267,38,2.39
10146,20751,38,2.39
6003,28275,37,2.32
24489,28933,37,2.32
3430,28138,37,2.32
44,5670,37,2.32
5790,19590,37,2.32
4564,10746,37,2.32
44,21566,37,2.32
44,20764,37,2.32
5773,5790,37,2.32
5673,17036,37,2.32
24487,28933,37,2.32
3389,3770,37,2.32
5701,5782,37,2.32
17032,28138,37,2.32
3223,3389,37,2.32
5670,10746,37,2.32
1860,4455,37,2.32
20882,25560,37,2.32
4549,28275,37,2.32
5670,21566,37,2.32
3223,10146,37,2.32
5670,20307,37,2.32
3223,26594,37,2.32
2868,26593,37,2.32
23911,28518,37,2.32
20882,28652,37,2.32
4852,5790,37,2.32
24057,26593,37,2.32
5701,5756,36,2.26
2868,28275,36,2.26
5782,17299,36,2.26
3963,9229,36,2.26
14973,21566,36,2.26
14973,21727,36,2.26
14973,17036,36,2.26
5673,21566,36,2.26
5673,21727,36,2.26
5670,21727,36,2.26
10746,28138,36,2.26
3127,3355,36,2.26
1946,22295,36,2.26
1946,17299,36,2.26
17460,28138,36,2.26
5697,5790,36,2.26
3946,28138,36,2.26
19848,22295,36,2.26
20051,28275,36,2.26
4549,20337,36,2.26
3888,5786,36,2.26
5790,17299,36,2.26
5790,22295,36,2.26
2693,24910,36,2.26
5302,20337,36,2.26
13108,28275,36,2.26
12758,28138,36,2.26
25469,28518,36,2.26
5670,14973,36,2.26
3355,28138,36,2.26
5673,19590,36,2.26
44,14973,36,2.26
44,17036,36,2.26
5773,14973,36,2.26
17299,19848,36,2.26
14973,20764,36,2.26
3946,10146,36,2.26
5773,21566,36,2.26
5773,17036,36,2.26
5773,21727,36,2.26
17036,21727,36,2.26
5670,17036,36,2.26
21566,21727,36,2.26
4455,28275,36,2.26
2551,4564,36,2.26
20764,21566,36,2.26
5782,22295,36,2.26
20764,21727,36,2.26
5673,14973,36,2.26
17036,20764,36,2.26
3355,26593,36,2.26
44,21727,36,2.26
17036,21566,36,2.26
44,5773,36,2.26
5688,28275,36,2.26
3770,4549,35,2.2
3637,3888,35,2.2
19590,21451,35,2.2
51,27934,35,2.2
3936,5746,35,2.2
1868,19590,35,2.2
27267,29581,35,2.2
28576,29581,35,2.2
51,2551,35,2.2
5786,10746,35,2.2
3389,28275,35,2.2
5688,5786,35,2.2
5786,28138,35,2.2
1860,4139,35,2.2
23483,28518,35,2.2
2551,5790,35,2.2
3430,20337,35,2.2
27939,28008,35,2.2
28008,28518,35,2.2
27939,28518,35,2.2
23911,25469,35,2.2
3642,9070,35,2.2
23911,27939,35,2.2
23911,28008,35,2.2
25469,27939,35,2.2
25469,28008,35,2.2
4549,10146,35,2.2
3389,17299,35,2.2
3936,28139,35,2.2
1788,24057,35,2.2
3389,22295,35,2.2
1765,25560,35,2.2
17032,25560,35,2.2
3355,5673,35,2.2
17299,29095,35,2.2
3223,17460,35,2.2
22295,29095,35,2.2
3355,10146,35,2.2
3888,9070,35,2.2
27934,28275,35,2.2
5786,28275,35,2.2
19848,28497,35,2.2
1314,1315,34,2.13
3637,9070,34,2.13
5756,5773,34,2.13
20051,25560,34,2.13
3389,27267,34,2.13
3389,28138,34,2.13
25560,29095,34,2.13
22606,28138,34,2.13
17460,22295,34,2.13
17299,17460,34,2.13
13108,20051,34,2.13
17299,20882,34,2.13
20882,22295,34,2.13
4852,24832,34,2.13
4549,26593,34,2.13
2868,28139,34,2.13
78,1860,34,2.13
3770,11431,34,2.13
2868,19590,34,2.13
5746,19590,34,2.13
4564,24057,34,2.13
51,4455,34,2.13
5786,24031,34,2.13
3946,5673,34,2.13
3770,22693,34,2.13
9229,9237,34,2.13
5790,10146,34,2.13
3223,11431,34,2.13
1849,3223,34,2.13
1788,3936,33,2.07
7095,7344,33,2.07
17460,28497,33,2.07
3936,28497,33,2.07
24057,27267,33,2.07
3770,26593,33,2.07
1378,22295,33,2.07
1378,17299,33,2.07
9070,23982,33,2.07
3223,10746,33,2.07
1868,28138,33,2.07
3936,4564,33,2.07
24832,27934,33,2.07
7095,7802,33,2.07
3770,6003,33,2.07
3223,5688,33,2.07
22606,25560,33,2.07
4564,20307,33,2.07
3637,3642,33,2.07
2868,26594,33,2.07
4062,22295,33,2.07
4062,13108,33,2.07
3770,4062,33,2.07
3642,23982,33,2.07
1788,5673,33,2.07
11858,19747,33,2.07
3936,27267,33,2.07
4549,27267,33,2.07
5701,5786,33,2.07
5746,20337,33,2.07
5786,23982,33,2.07
4062,4455,33,2.07
3127,22295,33,2.07
3127,17299,33,2.07
11431,13108,33,2.07
4455,4852,33,2.07
1315,3642,32,2.01
1315,23982,32,2.01
1315,9070,32,2.01
1314,3888,32,2.01
1315,3637,32,2.01
1314,24031,32,2.01
5786,9070,32,2.01
5786,8046,32,2.01
5688,27267,32,2.01
1315,5786,32,2.01
13108,15689,32,2.01
3770,15689,32,2.01
6003,19590,32,2.01
1315,24031,32,2.01
9070,24031,32,2.01
1314,8046,32,2.01
1314,9070,32,2.01
8046,24031,32,2.01
1314,3642,32,2.01
3888,8046,32,2.01
1314,5786,32,2.01
23982,24031,32,2.01
1314,3637,32,2.01
6003,20764,32,2.01
1846,25560,32,2.01
1315,8046,32,2.01
3642,24031,32,2.01
3637,24031,32,2.01
3642,8046,32,2.01
14033,14038,32,2.01
3637,23982,32,2.01
3637,8046,32,2.01
3637,5786,32,2.01
3642,5786,32,2.01
5756,6003,32,2.01
24057,29095,32,2.01
5688,5790,32,2.01
8852,25560,32,2.01
2551,28275,32,2.01
12618,19590,32,2.01
5193,5790,32,2.01
51,10146,32,2.01
2868,27267,32,2.01
3642,3888,32,2.01
3888,23982,32,2.01
3888,24031,32,2.01
5193,5746,32,2.01
1315,3888,32,2.01
1314,23982,32,2.01
17460,19590,32,2.01
1868,10146,32,2.01
2868,4455,32,2.01
8046,9070,32,2.01
8046,23982,32,2.01
8852,10146,32,2.01
10146,10502,32,2.01
8852,28139,31,1.95
1946,23291,31,1.95
8852,24057,31,1.95
10146,26594,31,1.95
5670,27267,31,1.95
5688,28518,31,1.95
2867,22295,31,1.95
4062,17299,31,1.95
3389,3936,31,1.95
1788,26594,31,1.95
4852,21451,31,1.95
5673,28275,31,1.95
3936,15689,31,1.95
20812,25560,31,1.95
8852,28138,31,1.95
5756,5786,31,1.95
22606,28518,31,1.95
3355,26594,31,1.95
11431,28138,31,1.95
1846,24832,31,1.95
4611,5772,31,1.95
5302,8852,31,1.95
2868,3936,31,1.95
5688,20337,31,1.95
6003,13108,31,1.95
3770,24832,31,1.95
14216,25560,31,1.95
2867,17299,31,1.95
13108,26593,31,1.95
20337,26593,31,1.95
17460,22693,30,1.88
2922,15033,30,1.88
4062,28275,30,1.88
4549,4852,30,1.88
1439,3770,30,1.88
3389,11428,30,1.88
26593,28518,30,1.88
24487,28518,30,1.88
13108,15649,30,1.88
1765,27267,30,1.88
9922,12928,30,1.88
3223,3451,30,1.88
3770,15649,30,1.88
3389,11440,30,1.88
20071,20387,30,1.88
1847,19590,30,1.88
23020,28518,30,1.88
19590,29251,30,1.88
26064,28138,30,1.88
4852,22693,30,1.88
5302,28139,30,1.88
3963,9237,30,1.88
5302,13108,30,1.88
21991,22295,30,1.88
23291,28275,30,1.88
13108,22693,30,1.88
22099,28138,30,1.88
20307,20337,30,1.88
4138,24258,30,1.88
2868,5673,30,1.88
3223,3430,30,1.88
3770,20051,30,1.88
1788,2693,30,1.88
21738,21991,30,1.88
4549,13108,30,1.88
3936,29095,30,1.88
3451,27267,30,1.88
21451,29289,30,1.88
17299,21991,30,1.88
3223,21451,30,1.88
4062,24057,30,1.88
6003,10146,30,1.88
3946,28518,30,1.88
19590,28518,29,1.82
3355,3770,29,1.82
51,12618,29,1.82
5782,24057,29,1.82
2551,28138,29,1.82
9743,28275,29,1.82
3770,4170,29,1.82
5746,28275,29,1.82
28275,28576,29,1.82
5782,28275,29,1.82
2868,5670,29,1.82
5193,6003,29,1.82
17032,20337,29,1.82
18565,19590,29,1.82
4271,20071,29,1.82
12758,25560,29,1.82
1439,22693,29,1.82
7500,19590,29,1.82
19590,19848,29,1.82
4549,26064,29,1.82
1378,3770,29,1.82
13108,24832,29,1.82
3936,11428,29,1.82
5676,5698,29,1.82
24487,25560,29,1.82
13108,19590,29,1.82
14404,20048,29,1.82
1765,28138,29,1.82
5302,29581,29,1.82
1846,20337,29,1.82
5782,28518,29,1.82
3389,19590,29,1.82
1097,28138,29,1.82
1097,25560,29,1.82
22693,25560,29,1.82
22099,25560,29,1.82
8852,13108,29,1.82
1868,20337,28,1.76
5773,5786,28,1.76
10746,22295,28,1.76
4271,11472,28,1.76
2922,20387,28,1.76
3389,15689,28,1.76
3770,26594,28,1.76
1868,3946,28,1.76
3963,9235,28,1.76
3223,20882,28,1.76
7889,15033,28,1.76
20307,28576,28,1.76
4170,13108,28,1.76
11428,15689,28,1.76
11428,11440,28,1.76
20048,20387,28,1.76
20048,20071,28,1.76
51,1765,28,1.76
2922,7889,28,1.76
10746,17299,28,1.76
4564,29581,28,1.76
1788,1849,28,1.76
5670,22810,28,1.76
4564,22810,28,1.76
2922,20048,28,1.76
1788,5670,28,1.76
27267,29095,28,1.76
3451,20882,28,1.76
11472,20387,28,1.76
11472,20071,28,1.76
11472,20048,28,1.76
11472,14404,28,1.76
11472,14395,28,1.76
4271,20387,28,1.76
2922,20071,28,1.76
4271,20048,28,1.76
4271,14404,28,1.76
4271,14395,28,1.76
1946,29289,28,1.76
13108,26594,28,1.76
11440,15689,28,1.76
3430,28275,28,1.76
12928,16235,28,1.76
9922,29569,28,1.76
9922,16235,28,1.76
1765,17299,28,1.76
24489,28518,28,1.76
24488,28932,28,1.76
10746,27267,28,1.76
3770,29095,28,1.76
4062,26594,28,1.76
1845,28275,28,1.76
14395,20071,28,1.76
14395,20048,28,1.76
14395,14404,28,1.76
1765,22295,28,1.76
4455,5746,28,1.76
2922,14404,28,1.76
2922,14395,28,1.76
2922,11472,28,1.76
2922,4271,28,1.76
24489,25560,28,1.76
16235,29569,28,1.76
12928,29569,28,1.76
5688,19590,28,1.76
13850,28518,28,1.76
51,21451,28,1.76
14404,20387,28,1.76
14404,20071,28,1.76
14395,20387,28,1.76
1846,3770,28,1.76
13108,29095,28,1.76
20098,24057,28,1.76
4564,20911,28,1.76
28138,28576,28,1.76
3223,12758,28,1.76
3770,8852,27,1.69
3223,23483,27,1.69
3480,22230,27,1.69
22295,28497,27,1.69
2551,5746,27,1.69
19848,29289,27,1.69
5688,5746,27,1.69
3337,16235,27,1.69
9229,9235,27,1.69
3223,6846,27,1.69
5673,27267,27,1.69
2515,3223,27,1.69
3946,8852,27,1.69
3337,12928,27,1.69
3337,9922,27,1.69
3936,5782,27,1.69
22693,27267,27,1.69
5786,19590,27,1.69
4062,12758,27,1.69
3389,20307,27,1.69
3223,19256,27,1.69
1439,13108,27,1.69
2922,28139,27,1.69
4455,28518,27,1.69
3430,19590,27,1.69
12758,20337,27,1.69
17299,28497,27,1.69
28576,29289,27,1.69
5746,20764,27,1.69
3389,11474,27,1.69
51,1439,27,1.69
19848,26593,27,1.69
2515,4564,27,1.69
17299,20570,27,1.69
3643,17299,27,1.69
5688,6003,27,1.69
1846,13108,27,1.69
10146,17945,27,1.69
51,1845,27,1.69
5786,20337,27,1.69
19590,29602,27,1.69
4852,5746,27,1.69
4852,5688,27,1.69
3946,5670,27,1.69
1849,2868,27,1.69
19590,28652,27,1.69
2868,6846,27,1.69
2868,24057,27,1.69
6963,20337,27,1.69
19848,29581,27,1.69
20570,22295,27,1.69
3337,29569,27,1.69
24263,24264,26,1.63
51,9229,26,1.63
5782,20337,26,1.63
10146,20307,26,1.63
21451,28138,26,1.63
2693,28921,26,1.63
4564,15033,26,1.63
4549,19590,26,1.63
1860,28275,26,1.63
5673,24057,26,1.63
1861,28139,26,1.63
4852,8852,26,1.63
51,28139,26,1.63
1788,5790,26,1.63
22693,23483,26,1.63
5782,26064,26,1.63
3643,5746,26,1.63
3355,24832,26,1.63
3451,25560,26,1.63
1814,20751,26,1.63
8852,23020,26,1.63
28139,28275,26,1.63
1845,20337,26,1.63
6963,17299,26,1.63
3355,13108,26,1.63
3936,11474,26,1.63
11428,11474,26,1.63
11431,25560,26,1.63
15033,28139,26,1.63
1788,6846,26,1.63
1868,5670,26,1.63
5790,27267,26,1.63
3223,23020,26,1.63
11858,12602,26,1.63
3643,22295,26,1.63
5670,28139,26,1.63
3971,9237,26,1.63
3971,9229,26,1.63
2693,4062,26,1.63
3963,3971,26,1.63
3643,10146,26,1.63
3223,24263,26,1.63
11440,11474,26,1.63
11474,15689,26,1.63
